ACAZ C.2,Belgium,1926,Prototype,1
Adamoli-Cattani fighter,Italy,1918,Prototype,1
AD Scout,UK,1915,Prototype,4
ADA/HAL Advanced Medium Combat Aircraft,India,2050,Project,0
AEG D.I / D.II / D.III,Germany,1917,Prototype,3
AEG Dr.I,Germany,1917,Prototype,1
Aerfer Ariete,Italy,1958,Prototype,2
Aerfer Sagittario 2,Italy,1956,Prototype,2
Aero Ae 02,Czechoslovakia,1920,Prototype,1
Aero Ae 04,Czechoslovakia,1921,Prototype,1
Aero A.18,Czechoslovakia,1923,Production,20
Aero A.19,Czechoslovakia,1923,Prototype,1
Aero A.20,Czechoslovakia,1923,Prototype,1
Aero A.102,Czechoslovakia,1934,Prototype,1
Aeromarine PG-1,US,1922,Prototype,1
Aeronautica Umbra Trojani AUT.18,Italy,1939,Prototype,1
AIDC F-CK-1 Ching-kuo,Taiwan,1989,Operational,130
Airco DH.1,UK,1915,Production,170
Airco DH.2,UK,1915,Production,453
Airco DH.5,UK,1916,Production,552
Albatros D.I,Germany,1916,Production,50
Albatros D.II,Germany,1916,Production,291
Albatros D.III,Germany,1916,Production,1340
Albatros D.IV,Germany,1916,Prototype,1
Albatros D.V & D.Va,Germany,1917,Production,2500
Albatros D.VI,Germany,1918,Prototype,1
Albatros D.VII,Germany,1917,Prototype,1
Albatros D.IX,Germany,1918,Prototype,1
Albatros D.X,Germany,1918,Prototype,1
Albatros D.XI,Germany,1918,Prototype,2
Albatros D.XII,Germany,1918,Prototype,1
Albatros Dr.I,Germany,1917,Prototype,1
Albatros Dr.II,Germany,1918,Prototype,1
Albatros L 65,Germany,1925,Prototype,2
Albatros L 77v,Germany,1928,Prototype,4
Albatros L 84,Germany,1931,Prototype,5
Albatros W.4,Germany,1916,Production,118
Albree Pigeon-Fraser Pursuit,US,1917,Prototype,3
Alcock Scout,UK,1917,Prototype,1
Alekseyev I-211 & 215,USSR,1947,Prototype,3
Alter A.1,Germany,1917,Prototype,1
Ambrosini SAI.107 & 207,Italy,1940,Production,14
Ambrosini SAI.403,Italy,1943,Prototype,1
Ambrosini SS.4,Italy,1939,Prototype,1
Amiot 110,France,1928,Prototype,2
Anatra Anadis,Russia,1916,Prototype,1
ANF Les Mureaux 114,France,1931,Prototype,2
ANF Les Mureaux 130/Les Mureaux 3 & 4,France,1927,Prototype,2
ANF Les Mureaux 170,France,1932,Prototype,2
ANF Les Mureaux 180,France,1935,Prototype,1
ANF Les Mureaux 190,France,1936,Prototype,1
Ansaldo A.1 Balilla,Italy,1917,Production,307
Ansaldo ISVA,Italy,1917,Production,50
Ansaldo SVA,Italy,1917,Production,1245
Arado SD I,Germany,1927,Prototype,2
Arado SD II,Germany,1929,Prototype,1
Arado SD III,Germany,1929,Prototype,1
Arado SSD I,Germany,1930,Prototype,1
Arado Ar 64,Germany,1930,Production,20
Arado Ar 65,Germany,1931,Production,85
Arado Ar 67,Germany,1933,Prototype,1
Arado Ar 68,Germany,1934,Production,511
Arado Ar 76,Germany,1934,Production,189
Arado Ar 80,Germany,1935,Prototype,3
Arado Ar 197,Germany,1937,Prototype,3
Arado Ar 240,Germany,1940,Prototype,14
Arado Ar 440,Germany,1942,Prototype,5
Armstrong Whitworth Ara,UK,1919,Prototype,2
Armstrong Whitworth Armadillo,UK,1918,Prototype,1
Armstrong Whitworth A.W.16,UK,1930,Production,18
Armstrong Whitworth F.K.6,UK,1916,Prototype,1
Armstrong Whitworth F.K.9 & 10,UK,1916,Prototype,9
Armstrong Whitworth Siskin,UK,1919,Production,272
Armstrong Whitworth Starling,UK,1927,Prototype,2
Armstrong Whitworth AW.35 Scimitar,UK,1935,Production,6
Army Arsenal Model 3,Japan,1927,Prototype,1
Arsenal-Delanne 10,France,1941,Prototype,1
Arsenal VG-30 - 39,France,1938,Production,40
Arsenal VB 10,France,1945,Prototype,6
Arsenal VG 90,France,1949,Prototype,2
Atlas Cheetah,South Africa,1986,Operational,70
Austin-Ball A.F.B.1,UK,1917,Prototype,1
Austin Osprey,UK,1918,Prototype,1
Austin Greyhound,UK,1919,Prototype,3
Avia BH-3,Czechoslovakia,1921,Production,14
Avia BH-4,Czechoslovakia,1922,Prototype,1
Avia BH-6,Czechoslovakia,1923,Prototype,1
Avia BH-7,Czechoslovakia,1923,Prototype,2
Avia BH-8,Czechoslovakia,1923,Prototype,1
Avia BH-17,Czechoslovakia,1924,Production,24
Avia BH-19,Czechoslovakia,1924,Prototype,2
Avia BH-21,Czechoslovakia,1925,Production,184
Avia BH-23,Czechoslovakia,1926,Prototype,2
Avia BH-33,Czechoslovakia,1927,Production,110
Avia B-34,Czechoslovakia,1932,Production,14
Avia B-534,Czechoslovakia,1933,Production,566
Avia B-634,Czechoslovakia,1936,Prototype,1
Avia B-35,Czechoslovakia,1938,Prototype,3
Avia B-135,Czechoslovakia,1939,Production,13
Avia S-199,Czechoslovakia,1947,Production,603
Aviatik (Berg) D.I,Austria-Hungary,1917,Production,700
Aviatik (Berg) D.II,Austria-Hungary,1917,Production,19
Aviatik D.III,Germany,1917,Prototype,2
Aviatik D.VI,Germany,1918,Prototype,1
Aviatik D.VII,Germany,1918,Prototype,1
Aviméta 88,France,1927,Prototype,1
Aviotehas PN-3,Estonia,1939,Prototype,1
AVIS I,Hungary,1933,Prototype,1
AVIS II,Hungary,1935,Prototype,1
AVIS III,Hungary,1935,Prototype,3
AVIS IV,Hungary,1937,Prototype,1
Avro 504K Comic,UK,1916,Production,11303
Avro 523 Pike,UK,1916,Prototype,2
Avro 527,UK,1916,Prototype,1
Avro 530,UK,1917,Prototype,2
Avro 531 Spider,UK,1918,Prototype,2
Avro 566 Avenger,UK,1926,Prototype,1
Avro 584 Avocet,UK,1927,Prototype,2
Avro Canada CF-100 Canuck,Canada,1950,Production,692
Avro Canada CF-105 Arrow,Canada,1958,Prototype,5
Bachem Ba 349,Germany,1945,Prototype,36
BAJ IV,France,1919,Prototype,2
BAT Bantam,UK,1918,Prototype,15
BAT Basilisk,UK,1918,Prototype,3
Beardmore W.B.2,UK,1917,Prototype,3
Beardmore W.B.III,UK,1917,Production,100
Beardmore W.B.IV,UK,1917,Prototype,1
Beardmore W.B.V,UK,1917,Prototype,2
Beardmore W.B.XXVI,UK,1925,Prototype,1
Bell YFM-1 Airacuda,US,1937,Production,13
Bell XFL Airabonita,US,1940,Prototype,1
Bell P-39 Airacobra,US,1938,Production,9584
Bell P-59 Airacomet,US,1942,Production,66
Bell P-63 Kingcobra,US,1942,Production,3303
Bell XP-77,US,1944,Prototype,2
Bell XP-83,US,1945,Prototype,2
Berkmans Speed Scout,US,1917,Prototype,1
Bereznyak-Isayev BI-1,USSR,1942,Prototype,9
Berliner-Joyce XFJ,US,1930,Prototype,1
Berliner-Joyce F2J,US,1933,Production,39
Berliner-Joyce XF3J,US,1934,Prototype,1
Berliner-Joyce P-16,US,1930,Production,26
Bernard SIMB AB 10,France,1924,Prototype,1
Bernard SIMB AB 12,France,1926,Prototype,1
Bernard SIMB AB 14,France,1925,Prototype,1
Bernard 15,France,1926,Prototype,1
Bernard 20,France,1929,Prototype,1
Bernard H.52,France,1933,Prototype,2
Bernard 74 & 75,France,1931,Prototype,2
Bernard H 110,France,1935,Prototype,1
Bernard 260,France,1932,Prototype,2
Bisnovat SK-2,USSR,1940,Prototype,1
Blackburn F.3,UK,1934,Prototype,1
Blackburn Firebrand,UK,1942,Production,193
Blackburn Firecrest,UK,1947,Prototype,3
Blackburn Lincock,UK,1928,Production,7
Blackburn Roc,UK,1938,Production,136
Blackburn Skua,UK,1937,Production,192
Blackburn Triplane,UK,1917,Prototype,1
Blackburn Turcock,UK,1927,Prototype,1
Blériot 118,France,1925,Prototype,1
Blériot-SPAD S.41,France,1922,Prototype,1
Blériot-SPAD S.51,France,1924,Production,54
Blériot-SPAD S.60,France,1926,Prototype,3
Blériot-SPAD S.61,France,1923,Production,380
Blériot-SPAD S.70,France,1927,Prototype,1
Blériot-SPAD S.71,France,1923,Prototype,1
Blériot-SPAD S.72,France,1923,Prototype,1
Blériot-SPAD S.81,France,1923,Production,87
Blériot-SPAD S.91,France,1927,Prototype,4
Blériot-SPAD S.510,France,1933,Production,61
Blériot-SPAD S.710,France,1937,Prototype,1
Bloch MB.150-157,France,1937,Production,663
Blohm & Voss BV 40,Germany,1944,Prototype,7
Blohm & Voss BV 155,Germany,1944,Prototype,3
Boeing FB,US,1923,Production,44
Boeing F2B,US,1926,Production,33
Boeing F3B,US,1928,Production,74
Boeing F4B,US,1928,Production,187
Boeing XF5B,US,1930,Prototype,1
Boeing XF6B,US,1933,Prototype,1
Boeing XF7B,US,1933,Prototype,1
Boeing XF8B,US,1944,Prototype,3
Boeing PW-9,US,1923,Production,114
Boeing XP-4,US,1927,Prototype,1
Boeing XP-7,US,1928,Prototype,1
Boeing XP-8,US,1928,Prototype,1
Boeing XP-9,US,1930,Prototype,1
Boeing P-12,US,1929,Production,366
Boeing XP-15,US,1930,Prototype,1
Boeing P-26 Peashooter,US,1932,Production,151
Boeing P-29,US,1934,Prototype,3
Boeing Model 100,US,1929,Production,9
Boeing Model 218,US,1929,Production,1
Boeing Model 256,US,1932,Production,14
Boeing Model 267,US,1933,Production,9
Boeing F/A-18E/F Super Hornet,US,1995,Operational,534
Boeing X-32,US,2000,Prototype,2
Bolkhovitinov I-1,USSR,1940,Prototype,1
Borel-Boccacio Type 3000,France,1919,Prototype,1
Borovkov-Florov I-207,USSR,1937,Prototype,8
Boulton & Paul Bobolink,UK,1918,Prototype,1
Boulton Paul Defiant,UK,1937,Production,1064
Boulton & Paul Partridge,UK,1928,Prototype,1
Breda Ba.27,Italy,1933,Production,14
Breguet BUC/BLC,France,1915,Prototype,32
Breguet LE,France,1918,Prototype,1
Breguet Taon,France,1957,Prototype,2
Breguet 17,France,1918,Production,100
Brewster F2A Buffalo,US,1937,Production,509
Bristol Badger,UK,1919,Prototype,5
Bristol Bagshot,UK,1927,Prototype,1
Bristol Beaufighter,UK,1939,Production,5928
Bristol Blenheim,UK,1935,Production,4422
Bristol Bulldog,UK,1928,Production,443
Bristol Bullfinch,UK,1922,Prototype,3
Bristol Bullpup,UK,1928,Prototype,1
Bristol F.2 Fighter,UK,1916,Production,5329
Bristol Jupiter Fighter,UK,1923,Prototype,3
Bristol M.1 Bullet,UK,1916,Production,130
Bristol Scout,UK,1914,Production,374
Bristol Scout F,UK,1918,Prototype,3
Bristol T.T.A.,UK,1916,Prototype,2
Bristol Type 101,UK,1927,Prototype,1
Bristol Type 123,UK,1934,Prototype,1
Bristol Type 133,UK,1934,Prototype,1
Bristol Type 146,UK,1938,Prototype,1
British Aerospace Sea Harrier,UK,1978,Production,98
Burgess HT-B/HT-2,US,1917,Production,8
Buscaylet-Bechereau BB.2,France,1924,Prototype,1
Buscaylet-de Monge 5/2,France,1923,Prototype,1
CAC Boomerang,Australia,1942,Production,250
CAC CA-15 Kangaroo,Australia,1946,Prototype,1
CAC Sabre,Australia,1953,Production,112
CAC Wirraway,Australia,1935,Production,755
Canadian Car and Foundry FDB-1,Canada,1938,Prototype,1
Caproni Ca.20,Italy,1914,Prototype,1
Caproni Ca.70 & 71,Italy,1925,Prototype,2
Caproni Ca.114,Italy,1933,Production,36
Caproni Ca.165,Italy,1938,Prototype,1
Caproni Ca.301,Italy,1934,Abandoned,2
Caproni Ca.331,Italy,1942,Prototype,2
Caproni Ca.335,Italy,1939,Prototype,1
Caproni CH.1,Italy,1935,Prototype,1
Caproni Vizzola F.4,Italy,1940,Prototype,1
Caproni Vizzola F.5,Italy,1939,Production,14
Caproni Vizzola F.6,Italy,1941,Prototype,1
Caudron O,France,1917,Prototype,1
Caudron C.714,France,1936,Production,90
Caudron-Renault CR.760,France,1940,Prototype,1
Caudron-Renault CR.770,France,1940,Prototype,1
